"Name","Version","Vendor"
"Windows Team Extension SDK","10.1.26100.7705","Microsoft Corporation"
"Windows Team Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense Desktop - en-us","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense Desktop - Other Languages","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense IoT - en-us","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense IoT - Other Languages","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense Mobile - en-us","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense PPI - en-us","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense PPI - Other Languages","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense UAP - en-us","10.1.26100.7705","Microsoft Corporation"
"WinRT Intellisense UAP - Other Languages","10.1.26100.7705","Microsoft Corporation"
