"Name","DisplayName","Status","StartType"
"DevicePickerUserSvc_c2e02","DevicePicker_c2e02","Stopped","Manual"
"DevicesFlowUserSvc_c2e02","DevicesFlow_c2e02","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dhcp","DHCP Client","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Stopped","Disabled"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Automatic"
"DoSvc","Delivery Optimization","Running","Manual"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Stopped","Disabled"
"DsmSvc","Device Setup Manager","Running","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"DusmSvc","Data Usage","Running","Automatic"
"EapHost","Extensible Authentication Protocol","Stopped","Disabled"
"EasyTuneEngineService","EasyTune Engine Service","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Disabled"
"ekrn","ESET Service","Running","Automatic"
"ekrnEpfw","ESET Firewall Helper","Stopped","Manual"
"embeddedmode","Embedded Mode","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EventLog","Windows Event Log","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"Everything","Everything","Running","Automatic"
"fdPHost","Function Discovery Provider Host","Stopped","Disabled"
"FDResPub","Function Discovery Resource Publication","Stopped","Disabled"
"fhsvc","File History Service","Stopped","Manual"
"FontCache","Windows Font Cache Service","Running","Automatic"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"FrameServer","Windows Camera Frame Server","Running","Manual"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Running","Manual"
"ftpsvc","Microsoft FTP Service","Stopped","Automatic"
"GameInputSvc","GameInput Service","Stopped","Manual"
"GBTECService","GBTECService","Stopped","Automatic"
"gcs","Hyper-V Guest Compute Service","Stopped","Manual"
"GigabyteUpdateService","GIGABYTE Update Service","Running","Automatic"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual"
"GoogleUpdaterInternalService149.0.7814.0","Google Updater Internal Service (GoogleUpdaterInternalService149.0.7814.0)","Stopped","Automatic"
"GoogleUpdaterService149.0.7814.0","Google Updater Service (GoogleUpdaterService149.0.7814.0)","Stopped","Automatic"
"gpsvc","Group Policy Client","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"HgClientService","Host Guardian Client Service","Stopped","Manual"
"hidserv","Human Interface Device Service","Running","Manual"
"HNS","Host Network Service","Running","Manual"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual"
"HvHost","HV Host Service","Running","Manual"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual"
"IISADMIN","IIS Admin Service","Stopped","Automatic"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"InstallService","Microsoft Store Install Service","Running","Manual"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Automatic"
"iphlpsvc","IP Helper","Running","Automatic"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual"
"KeyIso","CNG Key Isolation","Running","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LanmanServer","Server","Running","Automatic"
"LanmanWorkstation","Workstation","Running","Automatic"
"lfsvc","Geolocation Service","Running","Manual"
"LicenseManager","Windows License Manager Service","Running","Manual"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual"
"LSM","Local Session Manager","Running","Automatic"
"LxpSvc","Language Experience Service","Stopped","Manual"
"MacriumService","Macrium Service","Stopped","Disabled"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic"
"McmSvc","Mobile Connectivity Management Service","Stopped","Manual"
"McpManagementService","McpManagementService","Stopped","Manual"
"MDCoreSvc","Microsoft Defender Core Service","Running","Automatic"
"MessagingService_c2e02","MessagingService_c2e02","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"midisrv","Windows MIDI Service","Stopped","Manual"
"MozillaMaintenance","Mozilla Maintenance Service","Stopped","Manual"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Disabled"
"msiserver","Windows Installer","Stopped","Manual"
"msiv","msiv","Stopped","Manual"
"MsKeyboardFilter","Microsoft Keyboard Filter","Stopped","Disabled"
"NaturalAuthentication","Natural Authentication","Stopped","Manual"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual"
"Netlogon","Netlogon","Stopped","Manual"
"Netman","Network Connections","Stopped","Manual"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Stopped","Manual"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual"
"NgcSvc","Microsoft Passport","Stopped","Manual"
"NlaSvc","Network Location Awareness","Stopped","Manual"
"NPSMSvc_c2e02","Now Playing Session Manager Service_c2e02","Stopped","Manual"
"nsi","Network Store Interface Service","Running","Automatic"
"nvagent","Network Virtualization Service","Running","Manual"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Running","Automatic"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic"
"OneSyncSvc_c2e02","Sync Host_c2e02","Running","Automatic"
"P9RdrService_c2e02","P9RdrService_c2e02","Stopped","Manual"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic"
"PeerDistSvc","BranchCache","Stopped","Manual"
"PenService_c2e02","PenService_c2e02","Stopped","Manual"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PhoneSvc","Phone Service","Running","Manual"
"PimIndexMaintenanceSvc_c2e02","Contact Data_c2e02","Stopped","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual"
"Power","Power","Running","Automatic"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"PrintScanBrokerService","PrintScanBrokerService","Stopped",
"PrintWorkflowUserSvc_c2e02","PrintWorkflow_c2e02","Stopped","Manual"
"ProfSvc","User Profile Service","Running","Automatic"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Disabled"
"RasMan","Remote Access Connection Manager","Stopped","Disabled"
"refsdedupsvc","ReFS Dedup Service","Stopped","Manual"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled"
"RemoteRegistry","Remote Registry","Stopped","Disabled"
"RetailDemo","Retail Demo Service","Stopped","Disabled"
"RmSvc","Radio Management Service","Running","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic"
"SamSs","Security Accounts Manager","Running","Automatic"
"SCardSvr","Smart Card","Stopped","Manual"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual"
"Schedule","Task Scheduler","Running","Automatic"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual"
"SDRSVC","Windows Backup","Stopped","Disabled"
"seclogon","Secondary Log-on","Stopped","Manual"
"SecurityHealthService","Windows Security Service","Running","Manual"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual"
"SENS","System Event Notification Service","Running","Automatic"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual"
"SensorDataService","Sensor Data Service","Stopped","Manual"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual"
"SharedAccess","Internet Connection Sharing (ICS)","Running","Manual"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled"
"smphost","Microsoft Storage Spaces SMP","Running","Manual"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual"
"SNMPTrap","SNMP Trap","Stopped","Disabled"
"Spooler","Print Spooler","Running","Automatic"
"sppsvc","Software Protection","Running","Automatic"
"SSDPSRV","SSDP Discovery","Stopped","Disabled"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled"
"SstpSvc","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"StateRepository","State Repository Service","Running","Automatic"
"Steam Client Service","Steam Client Service","Stopped","Manual"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual"
"StorSvc","Storage Service","Running","Automatic"
"svsvc","Spot Verifier","Stopped","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Running","Manual"
"SysMain","SysMain","Stopped","Disabled"
"SystemEventsBroker","System Events Broker","Running","Automatic"
"TapiSrv","Telephony","Stopped","Manual"
"TermService","Remote Desktop Services","Stopped","Manual"
"TextInputManagementService","Text Input Management Service","Running","Automatic"
"Themes","Themes","Running","Automatic"
"TieringEngineService","Storage Tiers Management","Stopped","Manual"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","Web Account Manager","Running","Manual"
"TrkWks","Distributed Link Tracking Client","Stopped","Disabled"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual"
"TrustedInstaller","Windows Modules Installer","Running","Manual"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled"
"UdkUserSvc_c2e02","Udk User Service_c2e02","Running","Manual"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual"
"UnistoreSvc_c2e02","User Data Storage_c2e02","Stopped","Manual"
"upnphost","UPnP Device Host","Stopped","Disabled"
"UserDataSvc_c2e02","User Data Access_c2e02","Stopped","Manual"
"UserManager","User Manager","Running","Automatic"
"UsoSvc","Update Orchestrator Service","Running","Manual"
"VaultSvc","Credential Manager","Running","Manual"
"vds","Virtual Disk","Stopped","Manual"
"vmcompute","Hyper-V Host Compute Service","Running","Manual"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"vmms","Hyper-V Virtual Machine Management","Running","Automatic"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual"
"VSS","Volume Shadow Copy","Running","Manual"
"VSStandardCollectorService150","Visual Studio Standard Collector Service 150","Stopped","Manual"
"W32Time","Windows Time","Stopped","Disabled"
"w3logsvc","W3C Logging Service","Stopped","Manual"
"W3SVC","World Wide Web Publishing Service","Stopped","Automatic"
"WaaSMedicSvc","WaaSMedicSvc","Stopped",
"WalletService","WalletService","Stopped","Manual"
"WarpJITSvc","Warp JIT Service","Stopped","Manual"
"WAS","Windows Process Activation Service","Stopped","Manual"
"wbengine","Block Level Backup Engine Service","Stopped","Disabled"
"WbioSrvc","Windows Biometric Service","Stopped","Manual"
"Wcmsvc","Windows Connection Manager","Running","Automatic"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual"
"WdiServiceHost","Diagnostic Service Host","Stopped","Disabled"
"WdiSystemHost","Diagnostic System Host","Stopped","Disabled"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual"
"WebClient","WebClient","Stopped","Manual"
"webthreatdefsvc","Web Threat Defense Service","Running","Manual"
"webthreatdefusersvc_c2e02","Web Threat Defense User Service_c2e02","Running","Automatic"
"Wecsvc","Windows Event Collector","Stopped","Manual"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual"
"WerSvc","Windows Error Reporting Service","Stopped","Disabled"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual"
"whesvc","Windows Health and Optimized Experiences","Running","Automatic"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual"
"WinDefend","Microsoft Defender Antivirus Service","Running","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"Winmgmt","Windows Management Instrumentation","Running","Automatic"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual"
"wisvc","Windows Insider Service","Stopped","Manual"
"WlanSvc","WLAN AutoConfig","Running","Automatic"
"wlidsvc","Microsoft Account Sign-in Assistant","Running","Manual"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual"
"WManSvc","Windows Management Service","Stopped","Manual"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Disabled"
"WMSVC","Web Management Service","Stopped","Manual"
"workfolderssvc","Work Folders","Stopped","Manual"
"WpcMonSvc","Parental Controls","Stopped","Manual"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual"
"WpnService","Windows Push Notifications System Service","Running","Automatic"
"WpnUserService_c2e02","Windows Push Notifications User Service_c2e02","Running","Automatic"
"WSAIFabricSvc","WSAIFabricSvc","Running","Automatic"
"wscsvc","Security Center","Running","Automatic"
"WSearch","Windows Search","Stopped","Disabled"
"WSLService","WSL Service","Running","Automatic"
"wuauserv","Windows Update","Running","Manual"
"wuqisvc","Microsoft Usage and Quality Insights","Stopped","Manual"
"WwanSvc","WWAN AutoConfig","Stopped","Manual"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual"
"XblGameSave","Xbox Live Game Save","Stopped","Manual"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual"
"ZTHELPER","ZTDNS Helper service","Stopped","Manual"
