"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft ASP.NET Core 2.2.7 Shared Framework (x64)","2.2.7.0","Microsoft Corporation","","MsiExec.exe /X{A77FDD3E-B7EA-3B7E-84E9-0EB0396792C3}"
"Microsoft ASP.NET Core 2.2.8 Shared Framework (x64)","2.2.8.0","Microsoft Corporation","","MsiExec.exe /X{A44F1585-6681-3250-8364-CD434C0613B3}"
"Microsoft ASP.NET Core 3.0.1 Targeting Pack (x64)","3.0.1.0","Microsoft Corporation","","MsiExec.exe /X{16AE31E7-4FFD-3FFF-B9DB-70866360890B}"
"Microsoft ASP.NET Core 3.0.3 Shared Framework (x64)","3.0.3.0","Microsoft Corporation","","MsiExec.exe /X{04DEAACD-DD28-3F35-980F-9B3123640CA7}"
"Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64)","3.1.10.20520","Microsoft Corporation","","MsiExec.exe /X{FEA48357-CE2F-3ED0-B2A0-8548BEC6F111}"
"Microsoft ASP.NET Core 3.1.32 - Shared Framework (x64)","3.1.32.22566","Microsoft Corporation",,
"Microsoft ASP.NET Core 3.1.32 Shared Framework (x64)","3.1.32.22566","Microsoft Corporation","","MsiExec.exe /X{2E69E59E-17DF-3977-A405-49096F8B8432}"
"Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)","5.0.0.20526","Microsoft Corporation","","MsiExec.exe /X{7E0C04EC-9D6F-36CD-A821-DC8493EE407F}"
"Microsoft ASP.NET Core 5.0.17 - Shared Framework (x64)","5.0.17.22215","Microsoft Corporation",,
"Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)","5.0.17.22215","Microsoft Corporation","","MsiExec.exe /X{C1FF10EF-6BCB-3B08-AE1A-0D237C9F9F30}"
"Microsoft ASP.NET Core 6.0.36 - Shared Framework (x64)","6.0.36.24516","Microsoft Corporation",,
"Microsoft ASP.NET Core 6.0.36 Shared Framework (x64)","6.0.36.24516","Microsoft Corporation","","MsiExec.exe /X{215198BD-8EE1-385D-8194-0D3FF304296D}"
"Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)","6.0.36.24516","Microsoft Corporation","","MsiExec.exe /X{0EFFE892-CAC6-338E-997A-8FBFB20B9B1C}"
"Microsoft ASP.NET Core 7.0.20 - Shared Framework (x64)","7.0.20.24269","Microsoft Corporation",,
"Microsoft ASP.NET Core 7.0.20 Shared Framework (x64)","7.0.20.24269","Microsoft Corporation","","MsiExec.exe /X{BD401329-F877-391C-9E5A-FEB423C5A196}"
"Microsoft ASP.NET Core 7.0.20 Targeting Pack (x64)","7.0.20.24269","Microsoft Corporation","","MsiExec.exe /X{87DB9F7C-C794-39A6-93FE-D72AF734237A}"
"Microsoft ASP.NET Core 8.0.23 - Shared Framework (x64)","8.0.23.25609","Microsoft Corporation",,
"Microsoft ASP.NET Core 8.0.23 Shared Framework (x64)","8.0.23.25609","Microsoft Corporation","","MsiExec.exe /X{84397C92-4C79-3A07-A934-9089E1436275}"
"Microsoft ASP.NET Core 8.0.23 Targeting Pack (x64)","8.0.23.25609","Microsoft Corporation","","MsiExec.exe /X{364031D1-0CB3-3266-B6DD-B59D73BE21D4}"
"Microsoft ASP.NET Core 8.0.24 - Shared Framework (x64)","8.0.24.26072","Microsoft Corporation",,
"Microsoft ASP.NET Core 8.0.24 Shared Framework (x64)","8.0.24.26072","Microsoft Corporation","","MsiExec.exe /X{D0689588-DB89-3017-8900-D41198C1C3B2}"
"Microsoft ASP.NET Core 8.0.24 Targeting Pack (x64)","8.0.24.26072","Microsoft Corporation","","MsiExec.exe /X{4ACDE627-464A-30AC-8E09-C8ADE45F8DA2}"
"Microsoft ASP.NET Core 8.0.25 - Shared Framework (x64)","8.0.25.26112","Microsoft Corporation",,
"Microsoft ASP.NET Core 8.0.25 Shared Framework (x64)","8.0.25.26112","Microsoft Corporation","","MsiExec.exe /X{671A8FA4-3958-361B-BA4E-D7DE0079E929}"
"Microsoft ASP.NET Core 8.0.25 Targeting Pack (x64)","8.0.25.26112","Microsoft Corporation","","MsiExec.exe /X{949EAC1A-4C8D-394B-B1CC-527ECA9A4762}"
"Microsoft ASP.NET Core 8.0.26 - Shared Framework (x64)","8.0.26.26169","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{f600cee9-4c2d-456b-b0d0-46283c87fbc5}\AspNetCoreSharedFrameworkBundle-x64.exe""  /uninstall"
"Microsoft ASP.NET Core 8.0.26 Shared Framework (x64)","8.0.26.26169","Microsoft Corporation","","MsiExec.exe /X{CDF2084D-21BE-3505-B0FB-7866136E1ADD}"
"Microsoft ASP.NET Core 8.0.26 Targeting Pack (x64)","8.0.26.26169","Microsoft Corporation","","MsiExec.exe /X{C4673B20-8EDC-386C-BDAC-D0033B58DFD5}"
"Microsoft ASP.NET Core 8.0.27 - Shared Framework (x64)","8.0.27.26230","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{5df2b83b-ebf3-4479-bacd-5af99c2483eb}\AspNetCoreSharedFrameworkBundle-x64.exe""  /uninstall"
"Microsoft ASP.NET Core 8.0.27 Shared Framework (x64)","8.0.27.26230","Microsoft Corporation","","MsiExec.exe /X{F8F7CE65-5BAB-3446-98A3-3EABF39A7853}"
"Microsoft ASP.NET Core 8.0.27 Targeting Pack (x64)","8.0.27.26230","Microsoft Corporation","","MsiExec.exe /X{E2402B15-EB35-3BD4-AF32-5C4327E9A08A}"
"Microsoft ASP.NET Core 9.0.12 - Shared Framework (x64)","9.0.12.25609","Microsoft Corporation",,
"Microsoft ASP.NET Core 9.0.12 Shared Framework (x64)","9.0.12.25609","Microsoft Corporation","","MsiExec.exe /X{159887BB-BC8D-3426-A17D-1142A455EE72}"
"Microsoft ASP.NET Core 9.0.12 Targeting Pack (x64)","9.0.12.25609","Microsoft Corporation","","MsiExec.exe /X{27A134F4-EAAB-3B35-ABED-A6DBE9E6808A}"
"Microsoft ASP.NET Core 9.0.13 - Shared Framework (x64)","9.0.13.26064","Microsoft Corporation",,
"Microsoft ASP.NET Core 9.0.13 Shared Framework (x64)","9.0.13.26064","Microsoft Corporation","","MsiExec.exe /X{C1D88000-27CD-3011-AA9C-4385316BFACE}"
"Microsoft ASP.NET Core 9.0.13 Targeting Pack (x64)","9.0.13.26064","Microsoft Corporation","","MsiExec.exe /X{D80126D8-95DE-3489-B375-97D21DAC9C8E}"
"Microsoft ASP.NET Core 9.0.14 - Shared Framework (x64)","9.0.14.26119","Microsoft Corporation",,
"Microsoft ASP.NET Core 9.0.14 Shared Framework (x64)","9.0.14.26119","Microsoft Corporation","","MsiExec.exe /X{05C6BB69-26B0-3DDE-94A6-E8EE704DC45A}"
"Microsoft ASP.NET Core 9.0.14 Targeting Pack (x64)","9.0.14.26119","Microsoft Corporation","","MsiExec.exe /X{93AA5DC3-A927-3582-BADC-071D914460DB}"
"Microsoft ASP.NET Core 9.0.15 - Shared Framework (x64)","9.0.15.26176","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{0bfe405e-0939-4e9f-af8a-64e5fb81567c}\AspNetCoreSharedFrameworkBundle-x64.exe""  /uninstall"
"Microsoft ASP.NET Core 9.0.15 Shared Framework (x64)","9.0.15.26176","Microsoft Corporation","","MsiExec.exe /X{7913E590-B83F-3B76-A397-FB2A017D2755}"
"Microsoft ASP.NET Core 9.0.15 Targeting Pack (x64)","9.0.15.26176","Microsoft Corporation","","MsiExec.exe /X{C3C279C6-DE0F-3E30-AA7B-F303B618263F}"
"Microsoft ASP.NET Core 9.0.16 - Shared Framework (x64)","9.0.16.26230","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{011aa7ee-63cb-4c82-881e-485ef5c98e62}\AspNetCoreSharedFrameworkBundle-x64.exe""  /uninstall"
"Microsoft ASP.NET Core 9.0.16 Shared Framework (x64)","9.0.16.26230","Microsoft Corporation","","MsiExec.exe /X{A97FFE91-38B0-3017-9D0E-53D0BB7AF224}"
"Microsoft ASP.NET Core 9.0.16 Targeting Pack (x64)","9.0.16.26230","Microsoft Corporation","","MsiExec.exe /X{F40E0B10-47A3-3A37-A7E8-5873743FB3FE}"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{6A87FDD4-62B7-4599-99D0-4B1472B0B6DC}"
"Microsoft ASP.NET Core Runtime - 10.0.3 (x64)","10.0.3.35725","Microsoft Corporation",,
"Microsoft ASP.NET Core Runtime - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{071C38B4-BF01-4A0B-812C-25E02203727D}"
"Microsoft ASP.NET Core Runtime - 10.0.4 (x64)","10.0.4.35819","Microsoft Corporation",,
"Microsoft ASP.NET Core Runtime - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{DB718C44-99C1-4ABB-AA8D-4CD1F34800BA}"
"Microsoft ASP.NET Core Runtime - 10.0.8 (x64)","10.0.8.36029","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{885BE57E-D5CD-4969-9DB0-671B464F3769}\aspnetcore-runtime-10.0.8-win-x64.exe""  /uninstall"
"Microsoft ASP.NET Core Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{8F309B3C-71A2-4770-BA52-C2F7AA165799}"
"Microsoft ASP.NET Core Runtime - 11.0.0 Preview 1 (x64)","11.0.0.35804","Microsoft Corporation",,
"Microsoft ASP.NET Core Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{172F0DBD-EB6D-426C-8D31-92A34DF1AF04}"
"Microsoft ASP.NET Core Runtime - 11.0.0 Preview 4 (x64)","11.0.0.36030","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{D40A0C19-2A1E-4FA0-B20B-1EA277F709BD}\aspnetcore-runtime-11.0.0-preview.4.26230.115-win-x64.exe""  /uninstall"
"Microsoft ASP.NET Core Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{AFCBAEE1-10E2-454A-9CD8-F701028AC179}"
"Microsoft ASP.NET Core Targeting Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{9FECA08B-66DE-4264-AFA1-58C0817FD4FD}"
"Microsoft ASP.NET Core Targeting Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{FF6E7AE8-6D68-4902-8AA2-4166A686F079}"
"Microsoft ASP.NET Core Targeting Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{2D7FFDFF-5789-450F-8C5C-B65C26FDC9CD}"
"Microsoft ASP.NET Core Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{9739EBEA-C08A-4812-B20B-A2DD572A66E1}"
"Microsoft Edge WebView2 Runtime","147.0.3912.72","Microsoft Corporation","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
"Microsoft Visual Basic/C++ Runtime (x86)","1.1.0","Microsoft Corporation","","MsiExec.exe /X{C5E3A69D-D391-45A6-A8FB-00B01E2B010D}"
"Microsoft Visual C++ 2005 Redistributable","8.0.61187","Microsoft Corporation","","MsiExec.exe /X{710f4c1c-cc18-4c49-8cbf-51240c89a1a2}"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61186","Microsoft Corporation","","MsiExec.exe /X{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61186","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred08_x64.inf,Uninstall"
"Microsoft Visual C++ 2005 Redistributable (x86)","8.0.61187","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred08_x86.inf,Uninstall"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.7523","9.0.30729.7523","Microsoft Corporation","","MsiExec.exe /X{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523","9.0.30729.7523","Microsoft Corporation","","MsiExec.exe /X{9BE518E6-ECC6-35A9-88E4-87755C07200F}"
"Microsoft Visual C++ 2008 Redistributable (x64)","9.0.30729.7523","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred09_x64.inf,Uninstall"
"Microsoft Visual C++ 2008 Redistributable (x86)","9.0.30729.7523","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred09_x86.inf,Uninstall"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","MsiExec.exe /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}"
"Microsoft Visual C++ 2010 Redistributable (x64)","10.0.40219.473","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred10_x64.inf,Uninstall"
"Microsoft Visual C++ 2010 Redistributable (x86)","10.0.40219.473","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred10_x86.inf,Uninstall"
"Microsoft Visual C++ 2012 Redistributable (x64)","11.0.61135.400","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred11_x64.inf,Uninstall"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0","Microsoft Corporation",,
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0","Microsoft Corporation",,
"Microsoft Visual C++ 2012 Redistributable (x86)","11.0.61135.400","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred11_x86.inf,Uninstall"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0","Microsoft Corporation",,
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61135",,,,
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61135",,,,
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61135",,,,
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61135",,,,
"Microsoft Visual C++ 2013 Redistributable (x64)","12.0.40664.0","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred12_x64.inf,Uninstall"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Corporation",,
"Microsoft Visual C++ 2013 Redistributable (x86)","12.0.40664.0","Microsoft Corporation",,"rundll32.exe advpack.dll,LaunchINFSection vcred12_x86.inf,Uninstall"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Corporation",,
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{010792BA-551A-3AC0-A7EF-0FAB4156C382}"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{53CF6934-A98D-3D84-9146-FC4EDF3D5641}"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{D401961D-3A20-3AC7-943B-6139D5BD490A}"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{8122DAB1-ED4D-3676-BB0A-CA368196543E}"
"Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.23.27820","14.23.27820.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.23.27820","14.23.27820.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433","14.42.34433.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.51.36231","14.51.36231.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{c157798c-9519-4e56-98d9-f696f78f4a61}\VC_redist.x64.exe""  /uninstall"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130","14.38.33130.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.51.36231","14.51.36231.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{73fd1972-7030-4d2d-9ede-dd38a78c1d52}\VC_redist.x86.exe""  /uninstall"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36231","14.51.36231","Microsoft Corporation","","MsiExec.exe /I{7AB1994C-7537-46A5-84BE-A3E090AE982C}"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","MsiExec.exe /I{FE85AA49-3522-4663-9F52-9CD9E9837189}"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36231","14.51.36231","Microsoft Corporation","","MsiExec.exe /I{5937353B-6E8B-4A29-806F-366A8748E276}"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36231","14.51.36231","Microsoft Corporation","","MsiExec.exe /I{E293C14B-9C88-4FBE-8C5D-37386ECA2FBA}"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","MsiExec.exe /I{BC104582-4691-4D4C-8922-C215D941A2EB}"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36231","14.51.36231","Microsoft Corporation","","MsiExec.exe /I{38F97F29-A722-46EE-B80B-0F36D0180E4C}"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60922","Microsoft Corporation","","MsiExec.exe /X{610487D9-3460-328A-9333-219D43A75CC5}"
"Microsoft Visual Studio Code (User)","1.120.0","Microsoft Corporation","C:\Users\micha\AppData\Local\Programs\Microsoft VS Code\","""C:\Users\micha\AppData\Local\Programs\Microsoft VS Code\unins000.exe"""
"Microsoft Visual Studio Installer","4.5.35.35368","Microsoft Corporation","""C:\Program Files (x86)\Microsoft Visual Studio\Installer""","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" /uninstall"
"Microsoft Visual Studio Setup Configuration","3.12.2140.44225","Microsoft Corporation","","MsiExec.exe /I{D07657AA-968C-4629-BD6C-1B52AF825EA7}"
"Microsoft Visual Studio Setup WMI Provider","3.12.2140.44225","Microsoft Corporation","","MsiExec.exe /I{49727420-70BA-4495-9405-31F8D711CB5A}"
"Microsoft Windows Desktop Runtime - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{FF569AC6-1EA2-422C-9E46-F013FDDC4776}"
"Microsoft Windows Desktop Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{0D4F6A6D-2DDF-46B6-A338-9C8E6CA22EAB}"
"Microsoft Windows Desktop Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{FDD599D4-7592-4E78-8315-1F722801AE97}"
"Microsoft Windows Desktop Runtime - 3.0.3 (x64)","24.12.28517","Microsoft Corporation","","MsiExec.exe /X{9E499DF1-0C5B-4702-8C03-E3B29AB78181}"
"Microsoft Windows Desktop Runtime - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{5BEE5F3E-4D78-4DE8-A8F3-36D3E9D8868C}"
"Microsoft Windows Desktop Runtime - 3.1.32 (x64)","3.1.32.31915","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","5.0.17.31219","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","40.68.31219","Microsoft Corporation","","MsiExec.exe /X{3C31CBA1-A0D9-4B95-A807-AD2313D12F47}"
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186","Microsoft Corporation","","MsiExec.exe /X{61D4736B-3325-4D4A-BD41-8BD206C6A86E}"
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","6.0.36.34217","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 6.0.36 (x86)","6.0.36.34217","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{c37854d7-1852-4785-82ff-86ff988e4caf}\windowsdesktop-runtime-6.0.36-win-x86.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 6.0.36 (x86)","48.144.23186","Microsoft Corporation","","MsiExec.exe /X{9A00C541-6944-4969-9DFE-A7289215800D}"
"Microsoft Windows Desktop Runtime - 7.0.20 (x64)","56.80.15245","Microsoft Corporation","","MsiExec.exe /X{72C29BED-666F-4E5E-BC49-DF44C890742E}"
"Microsoft Windows Desktop Runtime - 7.0.20 (x64)","7.0.20.33720","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 7.0.20 (x86)","7.0.20.33720","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{b16df2a0-c74b-4842-a33c-e03a23c6972d}\windowsdesktop-runtime-7.0.20-win-x86.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 7.0.20 (x86)","56.80.15245","Microsoft Corporation","","MsiExec.exe /X{D21715FE-E342-4744-A499-76ECE655DE5C}"
"Microsoft Windows Desktop Runtime - 8.0.19 (x64)","64.76.37602","Microsoft Corporation","","MsiExec.exe /X{A6EA542C-884C-4FE7-89E4-8C28E14B601C}"
"Microsoft Windows Desktop Runtime - 8.0.19 (x64)","8.0.19.35118","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 8.0.23 (x64)","8.0.23.35609","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 8.0.23 (x64)","64.92.45458","Microsoft Corporation","","MsiExec.exe /X{29177194-CD94-4A2D-97A4-EF77738E995A}"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","64.96.47265","Microsoft Corporation","","MsiExec.exe /X{0E6ACF40-9CC5-4B9E-96DE-AC039380D70D}"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","8.0.24.35722","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 8.0.25 (x64)","8.0.25.35812","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 8.0.25 (x64)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{C5343D9A-9640-4351-90D2-F6CF157C208E}"
"Microsoft Windows Desktop Runtime - 8.0.25 (x86)","8.0.25.35812","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{37dfbec9-5543-4ead-bc54-46b3451befaa}\windowsdesktop-runtime-8.0.25-win-x86.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 8.0.25 (x86)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{FE4C16DD-05C8-4D7B-85A4-13FBCDC75D03}"
"Microsoft Windows Desktop Runtime - 8.0.26 (x64)","64.104.50433","Microsoft Corporation","","MsiExec.exe /X{BC979F77-77D3-4599-ADFF-12D432BFF8C5}"
"Microsoft Windows Desktop Runtime - 8.0.26 (x64)","8.0.26.35920","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{ccb8cf0e-e9c7-4fea-add7-d5cdde656e5b}\windowsdesktop-runtime-8.0.26-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 8.0.27 (x64)","8.0.27.36030","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{2e63a120-0290-4d41-b713-28bf4b7f0631}\windowsdesktop-runtime-8.0.27-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 8.0.27 (x64)","64.108.52193","Microsoft Corporation","","MsiExec.exe /X{D024132A-E9B9-4C41-BBD4-B12DA02ABE81}"
"Microsoft Windows Desktop Runtime - 9.0.12 (x64)","9.0.12.35609","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 9.0.12 (x64)","72.48.45460","Microsoft Corporation","","MsiExec.exe /X{FE52B4ED-13FE-4577-AF57-150ED5995731}"
"Microsoft Windows Desktop Runtime - 9.0.13 (x64)","9.0.13.35715","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 9.0.13 (x64)","72.52.47159","Microsoft Corporation","","MsiExec.exe /X{A58D99B5-9613-4E04-9254-8052BDC85B4B}"
"Microsoft Windows Desktop Runtime - 9.0.14 (x64)","72.56.48819","Microsoft Corporation","","MsiExec.exe /X{8CE06646-49A6-427F-9155-5E1F50190E08}"
"Microsoft Windows Desktop Runtime - 9.0.14 (x64)","9.0.14.35819","Microsoft Corporation",,
"Microsoft Windows Desktop Runtime - 9.0.15 (x64)","72.60.50530","Microsoft Corporation","","MsiExec.exe /X{49C0C973-52B5-4F6D-AD4F-9B9DF928BAC6}"
"Microsoft Windows Desktop Runtime - 9.0.15 (x64)","9.0.15.35926","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{e29f6a15-9665-4b06-8024-06f270a032b8}\windowsdesktop-runtime-9.0.15-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 9.0.16 (x64)","72.64.52194","Microsoft Corporation","","MsiExec.exe /X{68B6EE5D-A526-4492-9481-0132A3479FD0}"
"Microsoft Windows Desktop Runtime - 9.0.16 (x64)","9.0.16.36030","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{b842def2-5667-4a78-8bfa-9b1df75dfa5e}\windowsdesktop-runtime-9.0.16-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime 10.0.8 (x64)","10.0.8.50000","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{044C9B3D-6B2E-4F02-BA14-700EE8ECE6BF}\windowsdesktop-runtime-10.0.8-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime 11.0.0 (x64)","11.0.0.26230","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{C64DE5DD-E3D8-41C6-AA13-EABF1D12B0BD}\windowsdesktop-runtime-11.0.0-preview.4.26230.115-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime 11.0.0 (x64)","11.0.0.26104","Microsoft Corporation",,
"Microsoft Windows Desktop Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{A47E2708-36C9-4AE8-8BD0-7B820B28B02F}"
"Microsoft Windows Desktop Targeting Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{828037BD-E494-4D25-908F-9F3EC4CDC9E2}"
"Microsoft Windows Desktop Targeting Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{62201D94-EE97-44D1-8C7B-75FD76DCB83A}"
"Microsoft Windows Desktop Targeting Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{AE83A74F-0AB1-495E-BB32-3552F74CFCA3}"
"Microsoft Windows Desktop Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{8271CE84-3711-4B87-856D-6235768E9019}"
"Microsoft Windows Desktop Targeting Pack - 3.0.0 (x64)","24.0.28113","Microsoft Corporation","","MsiExec.exe /X{2F73ED2D-BE1A-4BB4-BEAC-3FF49D8FF81E}"
"Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)","24.64.28315","Microsoft Corporation","","MsiExec.exe /X{7519423C-A977-4160-83A2-48633600A216}"
